names,state,electoral_position,electoral_level,electoral_branch,candidate_page,campaign_website_url,camp_hand,off_hand,per_hand,party,election_result,number_of_votes_for_race,number_of_votes_for_candidate,vote_share,number_of_total_trackers,behaviour_event_listeners,canvas_fingerprinters,canvas_font_fingerprinters,cookies,fb_pixel_events,key_logging,session_recorders,third_party_trackers,location,area,competitiveness,google,google_analytics,facebook,electoral_level_3
Michael Molesevich,Pennsylvania,House,Federal,Legislative,https://ballotpedia.org/Michael_Molesevich,https://www.padistrict15.org/,,,,Democratic Party,Lost,"290,189","85,933",0.296,3,0,0,0,3,0,0,0,0,Pennsylvania 15th,,0.204,0,0,0,Federal
Jeremy Shaffer,Pennsylvania,House,Federal,Legislative,https://ballotpedia.org/Jeremy_Shaffer,https://www.jeremyshaffer.com,JeremyShafferPA,,,Republican Party,Lost,"355,672","166,480",0.468,2,2,0,0,0,0,0,0,0,Pennsylvania 17th,,0.032,0,0,0,Federal
Allan Fung,Rhode,House,Federal,Legislative,https://ballotpedia.org/Allan_Fung,https://www.fungforri.com/,AllanFungRI,,,Republican Party,Lost,"197,782","92,868",0.47,23,16,0,0,3,0,0,0,4,Rhode Island 2nd,,0.03,0,0,0,Federal
Annie Andrews,South,House,Federal,Legislative,https://ballotpedia.org/Annie_Andrews,https://www.drannieandrews.com/,AnnieAndrewsMD,,,Democratic Party,Lost,"271,601","115,316",0.425,91,23,4,0,24,0,0,0,40,South Carolina 1st,,0.075,6,4,0,Federal
Lee Turner,South,House,Federal,Legislative,https://ballotpedia.org/Lee_Turner_(South_Carolina),https://leeturner.vote/,VoteLeeTurner,,,Independent,Lost,"182,365","16,758",0.092,6,3,0,0,3,0,0,0,0,South Carolina 4th,,0.408,0,0,0,Federal
Evangeline Hundley,South,House,Federal,Legislative,https://ballotpedia.org/Evangeline_Hundley,https://www.ehundleyforcongress.com,district5eva,,,Democratic Party,Lost,"210,217","71,469",0.34,24,8,4,0,3,0,0,0,9,South Carolina 5th,,0.16,1,0,0,Federal
Daryl Scott,South,House,Federal,Legislative,https://ballotpedia.org/Daryl_Scott,https://www.scottforsc.com/,ScottForSC,,,Democratic Party,Lost,"168,109","61,049",0.363,44,6,0,0,5,0,0,0,33,South Carolina 7th,,0.137,0,0,0,Federal
Collin Duprel,South,House,Federal,Legislative,https://ballotpedia.org/Collin_Duprel,https://collinforcongress.com/,,,,Libertarian Party,Lost,"167,123","35,672",0.213,7,6,1,0,0,0,0,0,0,South Dakota 1st,,0.287,0,0,0,Federal
Cameron Parsons,Tennessee,House,Federal,Legislative,https://ballotpedia.org/Cameron_Parsons,https://www.tn1.us,CParsonsTN1,,,Democratic Party,Lost,"187,896","37,032",0.197,5,3,1,0,1,0,0,0,0,Tennessee 1st,,0.303,0,0,0,Federal
Odessa Kelly,Tennessee,House,Federal,Legislative,https://ballotpedia.org/Odessa_Kelly,http://odessaforcongress.com/,OdessaKellyTN,,,Democratic Party,Lost,"180,678","68,897",0.381,87,12,1,0,33,5,0,0,36,Tennessee 7th,,0.119,5,10,20,Federal
Charlotte Bergmann,Tennessee,House,Federal,Legislative,https://ballotpedia.org/Charlotte_Bergmann,https://bergmannforcongress.com,ElectBergmann,,,Republican Party,Lost,"133,859","35,112",0.262,13,7,0,0,0,1,0,0,5,Tennessee 9th,,0.238,4,0,1,Federal
Jrmar Jefferson,Texas,House,Federal,Legislative,https://ballotpedia.org/Jrmar_Jefferson,https://www.jeffersonforcongress.com/,,,JrmarJefferson,Democratic Party,Lost,"227,630","49,877",0.219,46,6,0,0,5,0,0,0,35,Texas 1st,,0.281,0,0,0,Federal
Sandeep Srivastava,Texas,House,Federal,Legislative,https://ballotpedia.org/Sandeep_Srivastava,http://sandeepfortexas.com/,sandeepfortexas,,,Democratic Party,Lost,"229,218","85,656",0.374,4,3,0,0,1,0,0,0,0,Texas 3rd,,0.126,0,0,0,Federal
Iro Omere,Texas,House,Federal,Legislative,https://ballotpedia.org/Iro_Omere,https://www.omereforcongress.com/,IroghamaTX,,,Democratic Party,Lost,"240,043","73,794",0.307,3,0,0,0,3,0,0,0,0,Texas 4th,,0.193,0,0,0,Federal
John Simmons,Texas,House,Federal,Legislative,https://ballotpedia.org/John_Simmons_(Texas),https://www.johnsimmonsforcongress.com/,CongressRancher,,,Libertarian Party,Lost,"240,043","5,519",0.023,16,5,0,0,3,0,0,0,8,Texas 4th,,0.477,0,0,0,Federal
Johnny Teague,Texas,House,Federal,Legislative,https://ballotpedia.org/Johnny_Teague,https://www.johnnyteague.com/,for_teague,,,Republican Party,Lost,"128,724","45,927",0.357,59,23,6,1,12,0,0,2,15,Texas 7th,,0.143,2,2,0,Federal
Laura Jones,Texas,House,Federal,Legislative,https://ballotpedia.org/Laura_Jones_(Texas),https://laurajonesforcongress.com/,CongressLaura,,,Democratic Party,Lost,"174,837","50,126",0.287,46,10,0,0,5,0,0,0,31,Texas 8th,,0.213,1,0,0,Federal
Jimmy Leon,Texas,House,Federal,Legislative,https://ballotpedia.org/Jimmy_Leon,https://www.jimmyileonuscongressd-9.org/,,,,Republican Party,Lost,"120,213","27,221",0.226,3,0,0,0,3,0,0,0,0,Texas 9th,,0.274,0,0,0,Federal
Trey Hunt,Texas,House,Federal,Legislative,https://ballotpedia.org/Trey_Hunt,https://www.huntforcongress.org/,VoteHunt2022,,,Democratic Party,Lost,"214,666","79,784",0.372,123,29,3,0,23,0,0,0,68,Texas 12th,,0.128,0,1,0,Federal
Mikal Williams,Texas,House,Federal,Legislative,https://ballotpedia.org/Mikal_Williams,https://www.electmikalwilliams.com/,MikalDWilliams,,,Democratic Party,Lost,"191,734","59,839",0.312,31,16,0,0,7,0,0,0,8,Texas 14th,,0.188,0,0,0,Federal
Michelle Vallejo,Texas,House,Federal,Legislative,https://ballotpedia.org/Michelle_Vallejo,https://michellefortx15.com,MichelleVforTX,,,Democratic Party,Lost,"151,590","67,913",0.448,38,12,4,0,4,2,0,0,16,Texas 15th,,0.052,0,0,10,Federal
Irene Armendariz-Jackson,Texas,House,Federal,Legislative,https://ballotpedia.org/Irene_Armendariz-Jackson,https://irenearmendarizjackson.com/,ArmendarizDis16,,amazingurl09,Republican Party,Lost,"120,292","43,346",0.36,76,15,5,0,13,4,0,0,39,Texas 16th,,0.14,8,14,16,Federal
Carmen Maria Montiel,Texas,House,Federal,Legislative,https://ballotpedia.org/Carmen_Maria_Montiel,https://carmenforcongress.com/,Carmen4Congress,,,Republican Party,Lost,"105,799","26,447",0.25,26,14,4,0,4,0,0,0,4,Texas 18th,,0.25,0,0,0,Federal
Vince Duncan,Texas,House,Federal,Legislative,https://ballotpedia.org/Vince_Duncan,https://www.vinceforus.com/,,,duncanvince23,Independent,Lost,"105,799","1,765",0.017,56,3,1,0,20,0,0,0,32,Texas 18th,,0.483,6,0,3,Federal
Claudia Zapata,Texas,House,Federal,Legislative,https://ballotpedia.org/Claudia_Zapata,https://www.conclaudia.com,PoderConClaudia,,,Democratic Party,Lost,"305,375","114,599",0.375,31,13,0,0,4,0,0,0,14,Texas 21st,,0.125,0,0,0,Federal
Joseph LeBlanc,Texas,House,Federal,Legislative,https://ballotpedia.org/Joseph_LeBlanc_(Texas),https://leblanc4texas.com/,PieRatKing,,,Libertarian Party,Lost,"241,215","5,378",0.022,35,7,7,1,6,0,0,0,14,Texas 22nd,,0.478,3,9,0,Federal
John Lira,Texas,House,Federal,Legislative,https://ballotpedia.org/John_Lira_(Texas),https://liraforcongress.com/,liraforcongress,,,Democratic Party,Lost,"178,574","69,806",0.391,16,8,1,0,3,0,0,0,4,Texas 23rd,,0.109,1,2,0,Federal
Francisco Lopez,Texas,House,Federal,Legislative,https://ballotpedia.org/Francisco_Lopez_(Texas),https://frank4cd23.com,usborderpatriot,,,Independent,Lost,"178,574","8,395",0.047,3,0,0,0,3,0,0,0,0,Texas 23rd,,0.453,0,0,0,Federal
Jan McDowell,Texas,House,Federal,Legislative,https://ballotpedia.org/Jan_McDowell,https://www.janmcdowell.com,JanForCongress,,,Democratic Party,Lost,"269,796","108,303",0.401,17,10,0,0,3,0,0,0,4,Texas 24th,,0.099,0,0,0,Federal
Cassy Garcia,Texas,House,Federal,Legislative,https://ballotpedia.org/Cassy_Garcia,https://www.cassyforcongress.com/,CasandraLGarcia,,,Republican Party,Lost,"139,585","58,869",0.422,3,0,0,0,3,0,0,0,0,Texas 28th,,0.078,0,0,0,Federal
Zachariah Manning,Texas,House,Federal,Legislative,https://ballotpedia.org/Zachariah_Manning,https://zachariahmanning.com,Zachariah4US,,,Independent,Lost,"180,513","3,820",0.021,6,3,0,0,3,0,0,0,0,Texas 30th,,0.479,0,0,0,Federal
Patrick Gillespie,Texas,House,Federal,Legislative,https://ballotpedia.org/Patrick_Gillespie_(Texas),https://patrickgillespie4congress33.com,,,,Republican Party,Lost,"94,055","23,535",0.25,6,2,4,0,0,0,0,0,0,Texas 33rd,,0.25,0,0,0,Federal
Dan McQueen,Texas,House,Federal,Legislative,https://ballotpedia.org/Dan_McQueen,http://www.mcqueenforcongress.com/,,,,Republican Party,Lost,"121,659","30,566",0.251,4,2,0,0,2,0,0,0,0,Texas 35th,,0.249,0,0,0,Federal
Jon Haire,Texas,House,Federal,Legislative,https://ballotpedia.org/Jon_Haire,https://jonhaireforcongress.com/,jonhaire_36,,,Democratic Party,Lost,"167,368","49,536",0.296,1,0,0,0,1,0,0,0,0,Texas 36th,,0.204,0,0,0,Federal
Clark Patterson,Texas,House,Federal,Legislative,https://ballotpedia.org/Clark_Patterson,http://www.clarkpforcongress.com/,ClarkPatterso12,,ClarkPatterson,Libertarian Party,Lost,"285,789","6,332",0.022,49,1,0,0,18,0,0,0,30,Texas 37th,,0.478,6,0,3,Federal
Nick Mitchell,Utah,House,Federal,Legislative,https://ballotpedia.org/Nick_Mitchell_(Utah),https://nickmitchellforcongress.com/,Nick4utah,,,Democratic Party,Lost,"185,209","56,504",0.305,30,15,0,0,4,0,0,0,11,Utah 2nd,,0.195,3,0,0,Federal
Jay Mcfarland,Utah,House,Federal,Legislative,https://ballotpedia.org/Jay_Mcfarland,https://www.jaymacforutah.com/,JayMcfarland,,,United Utah Party,Lost,"185,209","6,115",0.033,41,9,8,1,7,0,0,0,16,Utah 2nd,,0.467,3,4,0,Federal
Glenn J. Wright,Utah,House,Federal,Legislative,https://ballotpedia.org/Glenn_J._Wright,https://wrightforutahcongressionaldistrict3.com/,,,,Democratic Party,Lost,"155,506","42,559",0.274,36,5,0,0,4,3,0,0,24,Utah 3rd,,0.226,8,0,16,Federal
January Walker,Utah,House,Federal,Legislative,https://ballotpedia.org/January_Walker,https://januaryforutah.com,UtahPolitician,,,United Utah Party,Lost,"151,319","9,257",0.061,12,4,0,0,4,0,0,0,4,Utah 4th,,0.439,4,0,0,Federal
Liam Madden,Vermont,House,Federal,Legislative,https://ballotpedia.org/Liam_Madden,https://rebirthdemocracy.com,LiamAwakening,,,Republican Party,Lost,"279,431","78,053",0.279,40,17,2,0,5,0,0,0,16,Vermont 1st,,0.221,0,0,0,Federal
Ericka Redic,Vermont,House,Federal,Legislative,https://ballotpedia.org/Ericka_Redic,https://erickaredic.com,ErickaRedic,,,Libertarian Party,Lost,"279,431","12,540",0.045,39,15,2,0,4,0,0,0,18,Vermont 1st,,0.455,2,4,0,Federal
Herb Jones,Virginia,House,Federal,Legislative,https://ballotpedia.org/Herb_Jones_(Virginia),https://herbjonesforvirginia.com/,herb4virginia,,,Democratic Party,Lost,"346,934","146,674",0.423,13,4,3,0,5,0,0,0,1,Virginia 1st,,0.077,0,0,0,Federal
Elaine Luria,Virginia,House,Federal,Legislative,https://ballotpedia.org/Elaine_Luria,https://elaineforcongress.com/,ElaineLuriaVA,,,Democratic Party,Lost,"291,705","139,675",0.479,62,6,4,0,10,4,0,0,38,Virginia 2nd,,0.021,8,12,16,Federal
Terry Namkung,Virginia,House,Federal,Legislative,https://ballotpedia.org/Terry_Namkung,https://namkungforvirginia.com/,TerryNamkung,,,Republican Party,Lost,"203,908","66,659",0.327,48,16,5,0,4,0,0,0,23,Virginia 3rd,,0.173,8,5,0,Federal
Leon Benjamin Sr.,Virginia,House,Federal,Legislative,https://ballotpedia.org/Leon_Benjamin_Sr.,https://benjamin4congress.com/,Leon4Congress,,LeonBenjamin,Republican Party,Lost,"241,518","87,409",0.362,8,4,3,0,1,0,0,0,0,Virginia 4th,,0.138,0,0,0,Federal
Karina Lipsman,Virginia,House,Federal,Legislative,https://ballotpedia.org/Karina_Lipsman,https://www.karinaforcongress.com/,KarinaCongress,,,Republican Party,Lost,"257,759","64,768",0.251,72,16,2,0,7,0,0,0,47,Virginia 8th,,0.249,0,0,0,Federal
Teddy Fikre,Virginia,House,Federal,Legislative,https://ballotpedia.org/Teddy_Fikre,https://fikre4va.com/,teddy_fikre,,,Independent,Lost,"257,759","3,796",0.015,91,15,5,0,5,0,0,0,66,Virginia 8th,,0.485,4,7,0,Federal
Taysha DeVaughan,Virginia,House,Federal,Legislative,https://ballotpedia.org/Taysha_DeVaughan,https://www.devaughanforcongress.com,dev4congress,,,Democratic Party,Lost,"244,893","64,852",0.265,48,21,2,0,5,0,0,0,20,Virginia 9th,,0.235,0,0,0,Federal
Hung Cao,Virginia,House,Federal,Legislative,https://ballotpedia.org/Hung_Cao,https://www.hungcaoforcongress.com,hungcaocongress,,,Republican Party,Lost,"288,691","135,575",0.47,43,11,2,0,9,0,0,0,21,Virginia 10th,,0.03,1,3,0,Federal
James Myles,Virginia,House,Federal,Legislative,https://ballotpedia.org/James_Myles,https://www.mylesforcongress.com,Myles11CD,,,Republican Party,Lost,"278,863","93,460",0.335,75,14,7,0,9,2,0,0,43,Virginia 11th,,0.165,4,4,2,Federal
Vincent Cavaleri,Washington,House,Federal,Legislative,https://ballotpedia.org/Vincent_Cavaleri,https://www.cavaleriforcongress.com/,cavalerifor,,,Republican Party,Lost,"156,659","56,902",0.363,21,10,0,0,3,0,0,0,8,Washington 1st,,0.137,0,0,0,Federal
Dan Matthews,Washington,House,Federal,Legislative,https://ballotpedia.org/Dan_Matthews_(Washington),https://dan2congress.com,dan2congress,,,Republican Party,Lost,"188,200","72,086",0.383,33,11,6,0,4,0,0,0,12,Washington 2nd,,0.117,4,4,0,Federal
Joe Kent,Washington,House,Federal,Legislative,https://ballotpedia.org/Joe_Kent_(Washington),https://www.joekentforcongress.com,joekent16jan19,,,Republican Party,Lost,"319,759","157,685",0.493,41,6,1,0,3,4,0,0,27,Washington 3rd,,0.007,4,7,16,Federal
Doug White,Washington,House,Federal,Legislative,https://ballotpedia.org/Doug_White,https://www.dougwhite4congress.us/,DougCongress,,,Democratic Party,Lost,"122,630","37,859",0.309,126,16,2,0,13,4,0,0,91,Washington 4th,,0.191,24,12,20,Federal
Natasha Hill,Washington,House,Federal,Legislative,https://ballotpedia.org/Natasha_Hill,https://www.natashaforcongress.com/,VoteNatashaHill,,,Democratic Party,Lost,"191,659","77,977",0.407,75,18,2,0,9,0,0,0,46,Washington 5th,,0.093,0,0,0,Federal
Elizabeth Kreiselmaier,Washington,House,Federal,Legislative,https://ballotpedia.org/Elizabeth_Kreiselmaier,https://cleanupthehouse.com/,cleanupthehouse,,,Republican Party,Lost,"218,609","83,314",0.381,98,9,6,0,26,0,0,0,57,Washington 6th,,0.119,13,8,0,Federal
Douglas Michael Basler,Washington,House,Federal,Legislative,https://ballotpedia.org/Doug_Basler,https://dougbasler.com,dougbasler,,,Republican Party,Lost,"118,928","34,222",0.288,5,4,0,0,1,0,0,0,0,Washington 9th,,0.212,0,0,0,Federal
Keith Swank,Washington,House,Federal,Legislative,https://ballotpedia.org/Keith_Swank,http://www.keithswank.com,Swank4America,,,Republican Party,Lost,"166,453","71,504",0.43,16,12,1,0,1,0,0,0,2,Washington 10th,,0.07,1,1,0,Federal
Belinda Fox-Spencer,West,House,Federal,Legislative,https://ballotpedia.org/Belinda_Fox-Spencer,https://www.belindafox-spencerforwvcongress.com/,bfoxspencer,,,Independent,Lost,"226,117","10,194",0.045,74,16,0,0,7,0,0,0,51,West Virginia 1st,,0.455,0,0,0,Federal
Barry Wendell,West,House,Federal,Legislative,https://ballotpedia.org/Barry_Wendell,https://barry4congress2022.com/,VoteforBarry,,,Democratic Party,Lost,"244,886","84,278",0.344,1,0,0,0,1,0,0,0,0,West Virginia 2nd,,0.156,0,0,0,Federal
Erik Olsen,Wisconsin,House,Federal,Legislative,https://ballotpedia.org/Erik_Olsen,https://olsenforliberty.com/,,,,Republican Party,Lost,"378,198","101,855",0.269,17,1,0,0,8,0,0,0,8,Wisconsin 2nd,,0.231,1,1,0,Federal
Douglas Alexander,Wisconsin,House,Federal,Legislative,https://ballotpedia.org/Douglas_Alexander_(Wisconsin),https://www.alexanderforcongress2022.com/,,,DouglasWI1957,Independent,Lost,"378,198","7,682",0.02,141,13,2,0,2,0,0,0,124,Wisconsin 2nd,,0.48,0,0,0,Federal
Tim Rogers,Wisconsin,House,Federal,Legislative,https://ballotpedia.org/Tim_Rogers_(Wisconsin),https://www.rogersforwisconsin.com/,,,,Republican Party,Lost,"255,051","57,660",0.226,46,9,0,0,5,0,0,0,32,Wisconsin 4th,,0.274,0,0,0,Federal
Mike Van Someren,Wisconsin,House,Federal,Legislative,https://ballotpedia.org/Mike_Van_Someren,https://www.mikevansomeren.com/,mvsforwi,,mikevs62,Democratic Party,Lost,"378,276","134,558",0.356,31,13,1,0,7,0,0,0,10,Wisconsin 5th,,0.144,2,0,0,Federal
Richard Ausman,Wisconsin,House,Federal,Legislative,https://ballotpedia.org/Richard_Ausman,https://ausmanforuscongress.com/,,,,Democratic Party,Lost,"338,148","128,879",0.381,44,6,0,0,5,0,0,0,33,Wisconsin 7th,,0.119,0,0,0,Federal
Marissa Selvig,Wyoming,House,Federal,Legislative,https://ballotpedia.org/Marissa_Selvig,https://www.selvigforcongress.com,MarissaSelvig,,,Constitution Party,Lost,"181,265","4,289",0.024,62,22,2,0,5,0,0,0,33,Wyoming 1st,,0.476,0,0,0,Federal
Steve Landers,Arkansas,Mayor,City,Executive,https://ballotpedia.org/Steve_Landers,https://landersforlr.com,SteveLittleRock,,,Nonpartisan,Lost,"63,308","25,744",0.407,194,16,1,0,69,7,1,0,100,Little Rock,,0.093,11,13,21,Local
Greg Henderson,Arkansas,Mayor,City,Executive,https://ballotpedia.org/Greg_Henderson,https://jgreghenderson.com/,jgreghenderson,,,Nonpartisan,Lost,"63,308","5,036",0.08,51,14,6,1,6,0,0,0,24,Little Rock,,0.42,6,0,0,Local
Ashleigh Aitken,California,Mayor,City,Executive,https://ballotpedia.org/Ashleigh_Aitken,https://www.ashleighaitken.com/,,,,Nonpartisan,Won,"67,188","28,803",0.429,52,14,1,0,5,0,0,0,32,Anaheim,,0.071,0,0,0,Local
Lorri Galloway,California,Mayor,City,Executive,https://ballotpedia.org/Lorri_Galloway,https://lorrigalloway.com/,,,,Nonpartisan,Lost,"67,188","11,444",0.17,21,4,0,0,3,0,0,0,14,Anaheim,,0.33,5,6,0,Local
Farrah Khan,California,Mayor,City,Executive,https://ballotpedia.org/Farrah_Khan,https://www.farrahnkhan.com/,,FarrahNK,farrahsafiakhan,Nonpartisan,Won,"77,730","29,370",0.378,47,9,0,0,5,0,0,0,33,Irvine,,0.122,0,0,0,Local
Branda Lin,California,Mayor,City,Executive,https://ballotpedia.org/Branda_Lin,https://brandalinformayor.com/,BrandaLinIrvine,,,Nonpartisan,Lost,"77,730","21,396",0.275,50,11,2,0,4,4,0,0,29,Irvine,,0.225,0,0,20,Local
Katherine Daigle,California,Mayor,City,Executive,https://ballotpedia.org/Katherine_Daigle,http://katherinedaigle.com/,,,,Republican Party,Lost,"77,730","7,126",0.092,22,9,0,0,10,0,0,0,3,Irvine,,0.408,0,0,0,Local
Tom Chomyn,California,Mayor,City,Executive,https://ballotpedia.org/Tom_Chomyn,https://www.tom4mayor.org/,,,,Nonpartisan,Lost,"77,730","5,096",0.066,9,7,1,0,1,0,0,0,0,Irvine,,0.434,0,0,0,Local
Rex Richardson,California,Mayor,City,Executive,https://ballotpedia.org/Rex_Richardson,https://www.joinrexrichardson.com/,RexRichardson,,,Nonpartisan,Won,"111,536","63,184",0.566,47,16,2,0,13,0,0,0,16,Long Beach,,0.066,3,2,0,Local
Karen Bass,California,Mayor,City,Executive,https://ballotpedia.org/Karen_Bass,https://karenbass.com/,KarenBassLA,RepKarenBass,,Democratic Party,Won,"929,974","509,944",0.548,135,12,6,0,25,8,0,0,84,Los Angeles,,0.048,17,14,28,Local
Rick J. Caruso,California,Mayor,City,Executive,https://ballotpedia.org/Rick_Caruso,https://carusocan.com/,RickCarusoLA,,,Nonpartisan,Lost,"929,974","420,030",0.452,114,11,1,0,20,12,0,0,70,Los Angeles,,0.048,9,4,32,Local
Loren Taylor,California,Mayor,City,Executive,https://ballotpedia.org/Loren_Taylor,https://lorenforoakland.com/,lorenmtaylor,,,Nonpartisan,Lost,"125,522","56,529",0.497,28,9,2,0,2,0,0,0,15,Oakland,,0.003,4,4,0,Local
Helen Tran,California,Mayor,City,Executive,https://ballotpedia.org/Helen_Tran,https://helentranformayor.com,,,,Nonpartisan,Won,"26,747","16,786",0.628,21,7,0,0,5,0,0,0,9,San Bernardino,,0.128,4,5,0,Local
James F. Penman,California,Mayor,City,Executive,https://ballotpedia.org/James_Penman,https://penmanformayor.com/,,,,Nonpartisan,Lost,"26,747","9,961",0.372,6,4,0,0,2,0,0,0,0,San Bernardino,,0.128,0,0,0,Local
Matt Mahan,California,Mayor,City,Executive,https://ballotpedia.org/Matt_Mahan,https://mahanforsanjose.com/,MattMahanSJ,,matthewmahan,Nonpartisan,Won,"240,521","123,436",0.513,96,14,4,0,21,4,0,0,53,San Jose,,0.013,10,14,16,Local
Cindy Chavez,California,Mayor,City,Executive,https://ballotpedia.org/Cindy_Chavez,https://www.cindychavezformayor.com/,chavezformayor,,,Nonpartisan,Lost,"240,521","117,085",0.487,100,33,7,1,10,0,0,0,49,San Jose,,0.013,0,0,0,Local
Valerie Amezcua,California,Mayor,City,Executive,https://ballotpedia.org/Valerie_Amezcua,http://friendsofvalerieamezcua.webs.com/,,,,Nonpartisan,Won,"41,410","15,940",0.385,18,6,0,0,7,0,0,0,5,Santa Ana,,0.115,0,4,0,Local
Jose Solorio,California,Mayor,City,Executive,https://ballotpedia.org/Jose_Solorio_(California),https://www.josesolorio.com/,JoseSolorio,,,Nonpartisan,Lost,"41,410","11,395",0.275,85,20,0,0,9,0,0,0,56,Santa Ana,,0.225,0,0,0,Local
Sal Tinajero,California,Mayor,City,Executive,https://ballotpedia.org/Sal_Tinajero,https://www.saltinajero.com,SalTinajeroSA,,S_Tinajero,Nonpartisan,Lost,"41,410","10,951",0.264,2,2,0,0,0,0,0,0,0,Santa Ana,,0.236,0,0,0,Local
Kristin Dozier,Florida,Mayor,City,Executive,https://ballotpedia.org/Kristin_Dozier,https://www.dozierformayor2022.com/,KristinEDozier,,,Nonpartisan,Lost,"64,892","30,451",0.469,58,11,0,0,7,0,0,0,40,Tallahassee,,0.031,4,5,0,Local
Linda Gorton,Kentucky,Mayor,City,Executive,https://ballotpedia.org/Linda_Gorton,https://lindagorton.com/,mayorgorton,,,Nonpartisan,Won,"94,443","67,083",0.71,23,6,1,0,4,0,0,0,12,Lexington,,0.21,4,8,0,Local
David Kloiber,Kentucky,Mayor,City,Executive,https://ballotpedia.org/David_Kloiber,https://davidkloiber.com/,Kloiber4Lex,,,Nonpartisan,Lost,"94,443","27,360",0.29,129,3,0,0,52,0,0,0,74,Lexington,,0.21,16,8,0,Local
Craig Greenberg,Kentucky,Mayor,City,Executive,https://ballotpedia.org/Craig_Greenberg,https://greenbergformayor.com/,RunWithCraig,,,Democratic Party,Won,"277,853","143,779",0.517,12,7,1,0,2,0,0,0,2,Louisville,,0.017,2,0,0,Local
William Dieruf,Kentucky,Mayor,City,Executive,https://ballotpedia.org/William_Dieruf,https://dierufformetromayor.com,mayorbilldieruf,,,Republican Party,Lost,"277,853","128,690",0.463,60,12,0,0,10,0,0,0,38,Louisville,,0.037,16,14,0,Local
